书名,详情链接,作者,评分,建平
红楼梦,https://book.douban.com/subject/1007305/,[清] 曹雪芹 著 ,9.6,['都云作者痴，谁解其中味？']
活着,https://book.douban.com/subject/4913064/,余华 ,9.4,['生的苦难与伟大']
百年孤独,https://book.douban.com/subject/6082808/,[哥伦比亚] 加西亚·马尔克斯 ,9.2,['魔幻现实主义文学代表作']
1984,https://book.douban.com/subject/4820710/,[英] 乔治·奥威尔 ,9.3,['栗树荫下，我出卖你，你出卖我']
飘,https://book.douban.com/subject/1068920/,[美国] 玛格丽特·米切尔 ,9.3,['革命时期的爱情，随风而逝']
三体全集,https://book.douban.com/subject/6518605/,刘慈欣 ,9.4,['地球往事三部曲']
三国演义（全二册）,https://book.douban.com/subject/1019568/,[明] 罗贯中 ,9.3,['是非成败转头空']
白夜行,https://book.douban.com/subject/10554308/,[日] 东野圭吾 ,9.1,['一宗离奇命案牵出跨度近20年步步惊心的故事']
房思琪的初恋乐园,https://book.douban.com/subject/27614904/,林奕含 ,9.2,['向死而生的文学绝唱']
福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,[英] 阿·柯南道尔 ,9.2,['名侦探的代名词']
动物农场,https://book.douban.com/subject/2035179/,[英] 乔治·奥威尔 ,9.2,['太阳底下并无新事']
小王子,https://book.douban.com/subject/1084336/,[法] 圣埃克苏佩里 ,9.0,['献给长成了大人的孩子们']
天龙八部,https://book.douban.com/subject/1255625/,金庸 ,9.1,['有情皆孽，无人不冤']
撒哈拉的故事,https://book.douban.com/subject/1060068/,三毛 ,9.2,['游荡的自由灵魂']
安徒生童话故事集,https://book.douban.com/subject/1046209/,（丹麦）安徒生 ,9.2,['为了争取未来的一代']
哈利•波特,https://book.douban.com/subject/24531956/,J.K.罗琳 (J.K.Rowling) ,9.7,['从9¾站台开始的旅程']
沉默的大多数,https://book.douban.com/subject/1054685/,王小波 ,9.1,['沉默是沉默者的通行证']
人类简史,https://book.douban.com/subject/25985021/,[以色列] 尤瓦尔·赫拉利 ,9.1,['跟着人类一同走过十万年']
围城,https://book.douban.com/subject/1008145/,钱锺书 ,8.9,['幽默的语言和对生活深刻的观察']
平凡的世界（全三部）,https://book.douban.com/subject/1200840/,路遥 ,9.0,['中国当代城乡生活全景']
明朝那些事儿（1-9）,https://book.douban.com/subject/3674537/,当年明月 ,9.1,['不拘一格的历史书写']
局外人,https://book.douban.com/subject/4908885/,[法] 阿尔贝·加缪 ,9.0,['人生在世，永远也不该演戏作假']
霍乱时期的爱情,https://book.douban.com/subject/10594787/,[哥伦比亚] 加西亚·马尔克斯 ,9.0,['义无反顾地直达爱情的核心']
杀死一只知更鸟,https://book.douban.com/subject/6781808/,[美] 哈珀·李 ,9.2,['有一种东西不能遵循从众原则，那就是——人的良心']
笑傲江湖（全四册）,https://book.douban.com/subject/1002299/,金庸 ,9.0,['欲练此功，必先自宫']
月亮和六便士,https://book.douban.com/subject/1858513/,[英] 毛姆 ,9.0,['有多少人会经历顿悟，就有更少的人甘愿自我放逐']
中国历代政治得失,https://book.douban.com/subject/1003479/,钱穆 ,9.2,['一部简明的“中国政治制度史”']
基督山伯爵,https://book.douban.com/subject/1085860/,大仲马 ,9.0,['一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景']
肖申克的救赎,https://book.douban.com/subject/1829226/,[美] 斯蒂芬·金 ,9.1,['豆瓣电影Top1原著']
东方快车谋杀案,https://book.douban.com/subject/1827374/,[英] 阿加莎·克里斯蒂 ,9.0,['谋杀诡计惊人，波洛的抉择耐人寻味']
追风筝的人,https://book.douban.com/subject/1770782/,[美] 卡勒德·胡赛尼 ,8.9,['为你，千千万万遍']
万历十五年,https://book.douban.com/subject/1041482/,[美] 黄仁宇 ,8.9,['见微知著，历史观的颠覆']
江城,https://book.douban.com/subject/7060185/,[美] 彼得·海斯勒 ,9.1,['外国人眼中的涪陵']
嫌疑人X的献身,https://book.douban.com/subject/3211779/,[日] 东野圭吾 ,8.9,['数学好是一种极致的浪漫']
刀锋,https://book.douban.com/subject/2035162/,[英]毛姆 ,9.0,['一把刀的锋刃不容易越过；因此智者说得救之道是困难的']
新名字的故事,https://book.douban.com/subject/26986954/,[意] 埃莱娜·费兰特 ,9.0,['探索青年时代的激情、困惑、挣扎、背叛和失去']
呐喊,https://book.douban.com/subject/1449351/,鲁迅 ,8.9,['新文学的第一声呐喊']
寻路中国,https://book.douban.com/subject/5414391/,[美] 彼得·海斯勒 ,9.0,['《纽约客》驻北京记者驾车漫游中国大陆的经历']
失踪的孩子,https://book.douban.com/subject/30172069/,[意] 埃莱娜·费兰特 ,9.1,['我的整个生命，只是一场为了提升社会地位的低俗斗争。']
乡土中国,https://book.douban.com/subject/1795079/,费孝通 ,9.2,['中国乡土社会传统文化和社会结构理论研究代表作']
射雕英雄传（全四册）,https://book.douban.com/subject/1044547/,金庸 ,9.0,['侠之大者，为国为民']
城南旧事,https://book.douban.com/subject/1254588/,林海音 文 ,9.0,['长亭外，古道边，芳草碧连天']
傲慢与偏见,https://book.douban.com/subject/1083428/,[英] 奥斯丁 ,8.9,['所有现代言情小说的母体']
格林童话全集,https://book.douban.com/subject/1043008/,[德国]格林兄弟 ,9.0,['一本有教育意义的书']
我与地坛,https://book.douban.com/subject/1209899/,史铁生 ,9.1,['这是你的罪孽与福祉']
冰与火之歌,https://book.douban.com/subject/25826936/,[美]乔治·R.R.马丁 ,9.5,['乔治·R·R·马丁史诗奇幻小说']
黄金时代,https://book.douban.com/subject/1089243/,王小波 ,8.9,['我想爱，想吃，还想在一瞬间变成天上半明半暗的云']
白鹿原,https://book.douban.com/subject/10564071/,陈忠实 ,9.2,['一轴关于我们民族灵魂的现实主义画卷']
历史深处的忧虑,https://book.douban.com/subject/1027191/,林达 ,9.0,['窥见美国社会的一扇窗']
无人生还,https://book.douban.com/subject/3006581/,[英] 阿加莎・克里斯蒂 ,8.9,['童谣杀人案']
文学回忆录（全2册）,https://book.douban.com/subject/20440644/,木心 口述 ,9.1,['木心留给世界的礼物']
艺术的故事,https://book.douban.com/subject/3162991/,[英] 贡布里希 (Sir E.H.Gombrich) ,9.6,['从最早的洞窟绘画到当今的实验艺术']
