电影名称,详情链接,颗星,评分,评分人数
肖申克的救赎,https://movie.douban.com/subject/1292052/,rating5-t,9.7,2096154人评价
霸王别姬,https://movie.douban.com/subject/1291546/,rating5-t,9.6,1554671人评价
阿甘正传,https://movie.douban.com/subject/1292720/,rating5-t,9.5,1584254人评价
这个杀手不太冷,https://movie.douban.com/subject/1295644/,rating45-t,9.4,1772536人评价
泰坦尼克号,https://movie.douban.com/subject/1292722/,rating45-t,9.4,1536894人评价
美丽人生,https://movie.douban.com/subject/1292063/,rating5-t,9.5,990200人评价
千与千寻,https://movie.douban.com/subject/1291561/,rating45-t,9.4,1646897人评价
辛德勒的名单,https://movie.douban.com/subject/1295124/,rating5-t,9.5,805983人评价
盗梦空间,https://movie.douban.com/subject/3541415/,rating45-t,9.3,1510275人评价
忠犬八公的故事,https://movie.douban.com/subject/3011091/,rating45-t,9.4,1052021人评价
海上钢琴师,https://movie.douban.com/subject/1292001/,rating45-t,9.3,1259949人评价
楚门的世界,https://movie.douban.com/subject/1292064/,rating45-t,9.3,1133505人评价
三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,rating45-t,9.2,1403002人评价
机器人总动员,https://movie.douban.com/subject/2131459/,rating45-t,9.3,993658人评价
放牛班的春天,https://movie.douban.com/subject/1291549/,rating45-t,9.3,975865人评价
星际穿越,https://movie.douban.com/subject/1889243/,rating45-t,9.3,1137316人评价
大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,rating45-t,9.2,1113248人评价
熔炉,https://movie.douban.com/subject/5912992/,rating45-t,9.3,684816人评价
疯狂动物城,https://movie.douban.com/subject/25662329/,rating45-t,9.2,1335705人评价
无间道,https://movie.douban.com/subject/1307914/,rating45-t,9.2,906851人评价
龙猫,https://movie.douban.com/subject/1291560/,rating45-t,9.2,937657人评价
教父,https://movie.douban.com/subject/1291841/,rating45-t,9.3,684631人评价
当幸福来敲门,https://movie.douban.com/subject/1849031/,rating45-t,9.1,1128686人评价
怦然心动,https://movie.douban.com/subject/3319755/,rating45-t,9.1,1308989人评价
触不可及,https://movie.douban.com/subject/6786002/,rating45-t,9.2,731115人评价
控方证人,https://movie.douban.com/subject/1296141/,rating5-t,9.6,299010人评价
蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,rating45-t,9.2,755612人评价
活着,https://movie.douban.com/subject/1292365/,rating45-t,9.2,588080人评价
寻梦环游记,https://movie.douban.com/subject/20495023/,rating45-t,9.1,1121758人评价
末代皇帝,https://movie.douban.com/subject/1293172/,rating45-t,9.3,539877人评价
乱世佳人,https://movie.douban.com/subject/1300267/,rating45-t,9.3,503786人评价
何以为家,https://movie.douban.com/subject/30170448/,rating45-t,9.1,691310人评价
摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,rating45-t,9.0,1152059人评价
指环王3：王者无敌,https://movie.douban.com/subject/1291552/,rating45-t,9.2,555753人评价
飞屋环游记,https://movie.douban.com/subject/2129039/,rating45-t,9.0,982973人评价
少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,rating45-t,9.1,1048866人评价
十二怒汉,https://movie.douban.com/subject/1293182/,rating45-t,9.4,335867人评价
鬼子来了,https://movie.douban.com/subject/1291858/,rating45-t,9.2,452444人评价
素媛,https://movie.douban.com/subject/21937452/,rating45-t,9.2,460434人评价
哈尔的移动城堡,https://movie.douban.com/subject/1308807/,rating45-t,9.1,719587人评价
天空之城,https://movie.douban.com/subject/1291583/,rating45-t,9.1,623271人评价
大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,rating45-t,9.0,889861人评价
哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,rating45-t,9.0,694632人评价
天堂电影院,https://movie.douban.com/subject/1291828/,rating45-t,9.2,484091人评价
罗马假日,https://movie.douban.com/subject/1293839/,rating45-t,9.0,719207人评价
闻香识女人,https://movie.douban.com/subject/1298624/,rating45-t,9.1,626638人评价
辩护人,https://movie.douban.com/subject/21937445/,rating45-t,9.2,450014人评价
我不是药神,https://movie.douban.com/subject/26752088/,rating45-t,9.0,1538194人评价
搏击俱乐部,https://movie.douban.com/subject/1292000/,rating45-t,9.0,643614人评价
教父2,https://movie.douban.com/subject/1299131/,rating45-t,9.2,379533人评价
死亡诗社,https://movie.douban.com/subject/1291548/,rating45-t,9.1,510892人评价
狮子王,https://movie.douban.com/subject/1301753/,rating45-t,9.0,592533人评价
指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,rating45-t,9.1,506573人评价
大闹天宫,https://movie.douban.com/subject/1418019/,rating45-t,9.3,285583人评价
猫鼠游戏,https://movie.douban.com/subject/1305487/,rating45-t,9.0,597213人评价
窃听风暴,https://movie.douban.com/subject/1900841/,rating45-t,9.1,419657人评价
指环王1：魔戒再现,https://movie.douban.com/subject/1291571/,rating45-t,9.0,569948人评价
钢琴家,https://movie.douban.com/subject/1296736/,rating45-t,9.2,382814人评价
